timestamp_utc_ms,throttle_pct,speed_kmh,acceleration_g,brake_pct,steering_angle_deg,motor_rpm,motor_hv_voltage,motor_hv_current,gear_selector,motor_torque_nm
1781472547261,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547263,13.20,61.28,,2.00,4.60,,,,4097,-260.00
1781472547263,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547266,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547269,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547272,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547274,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547274,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547277,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547277,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547280,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547283,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547285,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547288,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547291,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547294,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547294,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547296,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547299,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547302,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547305,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547308,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547310,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547310,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547313,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547316,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547318,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547321,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547321,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547324,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547327,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547327,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547330,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547332,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547335,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547338,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547341,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547343,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547343,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547346,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547349,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547349,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547352,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547354,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547357,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547357,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547360,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547363,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547366,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547368,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547371,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547371,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547374,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547377,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547379,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547379,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547382,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547385,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547387,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547387,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547390,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547393,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547396,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547399,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547401,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547404,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547404,13.20,61.28,,2.00,4.50,,,,4097,-260.00
1781472547407,13.20,61.28,,2.00,4.50,,,,4097,-260.00
